Name,Website,Category,Billing Country
Norbella,http://norbella.com/,Other,United States
OBRTAMENT,http://obertament.org/,Other,Spain
Ocean Bridge Group,http://oceanbridgegroup.com/,Other,United States
Ocean City Department of Tourism,http://ococean.com/,Travel,United States
Neo@Ogilvy - United Kingdom,http://ogilvy.co.uk/,Financial Services,United Kingdom
State of Ohio,http://ohio.gov/,Other,United States
Ohio Tourism,http://ohio.gov/tourism/,Travel,United States
Olive Media,http://olivemedia.ca/,Retail,Canada
Onit Digital,http://onitdigital.com/,Other,United States
OpenX,http://openx.com/,Other,United States
OpenX - United States,http://openx.com/,Other,United States
Optikonline.ch - Switzerland,http://optikonline.ch/,Retail,Switzerland
Orbit Interactive,http://orbitinteractive.com/,Other,United States
Orion Holdings,http://orionholdingsww.com/,Travel,United States
Panasonic Corporation,http://panasonic.net/,Retail,United States
Parade Magazine,http://parade.condenast.com/,Other,
Patron Spirits,http://patronspirits.com/,CPG,United States
PennyPop,http://pennypop.com/,Other,
Pernod Ricard Corporate,http://pernod-ricard.com/,CPG,United States
Peter Pan Bus Lines,http://peterpanbus.com/,Travel,United States
Pharmacia,http://pharmacia.ipsgwalior.org/,Other,United States
Carnival Corporation,http://phx.corporate-ir.net/phoenix.zhtml?c=140690&p=irol-index,Travel,United States
Pierre et Vacances - France,http://pierreetvacances.com/gb-en/,Travel,France
National Instruments,http://portugal.ni.com/,Retail,United States
Posen - Germany,http://posenpoznan.com/,Other,Germany
Programmatic Mechanics,http://progmechs.com/,Other,
Propel Marketing,http://propelmarketing.com/,Other,United States
Proximity Worldwide - NYC,http://proximityworld.com/,Other,
Pure Growth Media,http://puregrowth.com/,Other,United States
Qliance,http://qliance.com/,Other,United States
Qualbe Marketing,http://qualbe.com/,Other,United States
querlesen.de - Germany,http://querlesen.de.w3snoop.com/,Other,Germany
QuinStreet,http://quinstreet.com/,Other,United States
QuoteWizard,http://quotewizard.com/,Financial Services,United States
Rattanshop.ch - Swizerland,http://rattanshop.ch/,Retail,Switzerland
The Receivables Exchange,http://recx.com/,Financial Services,United States
Redvertisement - Germany,http://redvertisment.com/,Other,Germany
re:group,http://regroup.us/,Other,United States
Relevant 24,http://relevant24.com/,Other,United States
Restoration Media,http://restorationmedia.com/,Other,
Reynolds & Associates,http://reynoldslawyers.com/,Other,United States
Riley Hayes Advertising,http://rileyhayes.com/,Other,United States
Rock N Roll Fantasy Camp,http://rockcamp.com/,Other,United States
Rocket Fuel,http://rocketfuel.com/,Other,
Rockett Interactive,http://rockettinteractive.com/,Other,
ROCKRESORTS HTL/RSRT,http://rockresorts.com/,Travel,United States
Rock You - United States,http://rockyou.com/,Other,United States
Ron Foth Advertising,http://ronfoth.com/,Other,United States
Rosenmehl - Germany,http://rosenmehl.de/,CPG,Germany
Sabre Holdings,http://sabre.com/,Other,United States
Safe Auto Insurance Company,http://safeauto.com/,Financial Services,United States
Sage - Spain,http://sage.es/,Other,Spain
Sam Ash Music Corp,http://samashmusic.com/,Retail,United States
Savored,http://savored.com/,CPG,United States
