_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
corporacion-geo,1719,Corporacion Geo,Mexico,1256.7,237,Luis Lascurain,36,Mexico,Real Estate,
corporation-bank,1846,Corporation Bank,India,93.7,629,Jai Garg,3440,India,Regional Banks,
cosmo-energy-holdings,1510,Cosmo Energy Holdings,Japan,-530.3,1064,Yaichi Kimura,20042,Japan,Oil & Gas Operations,
costco-wholesale,192,Costco Wholesale,United States,2309,65820,Walter Jelinek,117269,Washington,Discount Stores,Washington
coty,1824,Coty,United States,311.2,9948,Elio Leoni-Sceti,4267,New York,Household/Personal Care,New York
couche-tard,538,Couche Tard,Canada,1129.4,24482,Brian Hannasch,34114,Canada,Food Retail,
country-garden-holdings,444,Country Garden Holdings,China,1504.2,9121,Kwok Yeung,18069,China,Real Estate,
credicorp,738,Credicorp,Peru,972.7,11343,Dionisio Paoletti,4927,Peru,Regional Banks,
credit-agricole,110,Credit Agricole,France,3899,29904,Philippe Brassac,38176,France,Regional Banks,
credit-suisse-group,461,Credit Suisse Group,Switzerland,-3075.1,30280,Tidjane Thiam,34844,Switzerland,Investment Services,
credito-emiliano,1788,Credito Emiliano,Italy,184.3,2385,Adolfo Bizzocchi,1691,Italy,Regional Banks,
credito-valtellinese,1960,Credito Valtellinese,Italy,131.3,844,Miro Fiordi,1300,Italy,Regional Banks,
crescent-point-energy,1947,Crescent Point Energy,Canada,-680.2,8718,Scott Saxberg,1848,Canada,Oil & Gas Operations,
crown-castle-international,945,Crown Castle International,United States,466.7,29621,W Moreland,3698,Texas,Telecommunications services,Texas
crown-holdings,1261,Crown Holdings,United States,428,7545,Timothy Donahue,8657,Pennsylvania,Containers & Packaging,Pennsylvania
ctripcom-international,1080,Ctrip.com International,China,397,21215,James Liang,1731,China,Business & Personal Services,
cullen-frost-bankers,1820,Cullen/Frost Bankers,United States,278.4,3824,Phillip Green,1077,Texas,Regional Banks,Texas
cummins,512,Cummins,United States,1399,19779,Norman Linebarger,19104,Indiana,Heavy Equipment,Indiana
dbs-group,253,DBS Group,Singapore,3238.7,29338,Piyush Gupta,9852,Singapore,Regional Banks,
dcc,1409,DCC,Ireland,208.8,7757,Tommy Breen,15687,Ireland,Conglomerates,
dgb-financial-group,1722,DGB Financial Group,South Korea,259.9,1383,In-Gyoo Park,2638,South Korea,Regional Banks,
dia,1726,DIA,Spain,331.8,3542,Ricardo De Don Pablos,9898,Spain,Discount Stores,
dish-network,517,DISH Network,United States,747.1,23124,Charles Ergen,15069,Colorado,Broadcasting & Cable,Colorado
dnb,307,DNB,Norway,3021.2,21068,Rune Bjerke,9528,Norway,Regional Banks,
dp-world,906,DP World,United Arab Emirates,882.9,15770,Sultan bin Sulayem,4043,United Arab Emirates,Other Transportation,
dr-horton,858,DR Horton,United States,765.9,11515,David Auld,10938,Texas,Construction Services,Texas
dsm,1287,DSM,Netherlands,97.6,10290,Feike Sijbesma,8563,Netherlands,Diversified Chemicals,
dsme,1426,DSME,South Korea,-2822.9,1257,Sung-Leep Jung,13265,South Korea,Heavy Equipment,
dsv,1595,DSV,Denmark,305.7,7418,Jens Andersen,7563,Denmark,Trucking,
dte-energy,614,DTE Energy,United States,727,15390,Gerard Anderson,10354,Michigan,Electric Utilities,Michigan
dvb-bank,1968,DVB Bank,Germany,50.6,1267,Ralf Bedranowsky,1340,Germany,Regional Banks,
davita,894,DaVita,United States,269.7,15437,Kent Thiry,13782,Colorado,Healthcare Services,Colorado
daewoo-securities,1872,Daewoo Securities,South Korea,264,2424,Sung-Guk Hong,1187,South Korea,Investment Services,
dah-sing-financial-holdings,1986,Dah Sing Financial Holdings,Hong Kong,251.2,2220,Hon-Hing Wong,1105,Hong Kong,Regional Banks,
dai-nippon-printing,1314,Dai Nippon Printing,Japan,242.7,6710,Yoshitoshi Kitajima,12064,Japan,Printing & Publishing,
dai-ichi-life-insurance,224,Dai-ichi Life Insurance,Japan,1522.3,15608,Katsutoshi Saito,55738,Japan,Life & Health Insurance,
daiichi-sankyo,607,Daiichi Sankyo,Japan,2932.2,16933,Joji Nakayama,8369,Japan,Pharmaceuticals,
daikin-industries,478,Daikin Industries,Japan,1094.7,23934,Masanori Togawa,16801,Japan,Construction Materials,
daimler,24,Daimler,Germany,9341.5,75406,Dieter Zetsche,165747,Germany,Auto & Truck Manufacturers,
daishi-bank,1775,Daishi Bank,Japan,124,1303,Fujio Namiki,634,Japan,Regional Banks,
daito-trust-construction,995,Daito Trust Construction,Japan,543.4,11212,Naomi Kumakiri,11660,Japan,Construction Services,
daiwa-house-industry,391,Daiwa House Industry,Japan,1250.8,18762,Takeo Higuchi,25416,Japan,Construction Services,
daiwa-securities,585,Daiwa Securities,Japan,1107.3,11250,Takashi Hibino,5647,Japan,Investment Services,
dali-foods-group,1677,Dali Foods Group,China,463.4,8933,Shi Xu,2683,China,Food Processing,
dalian-wanda-commercial-properties,190,Dalian Wanda Commercial Properties,China,4738,29914,Ben Ding,19849,China,,
damac-properties,1757,Damac Properties,United Arab Emirates,1108.9,4694,Ziad El-Chaar,2149,United Arab Emirates,Real Estate,
danaher,214,Danaher,United States,2596.8,66404,Thomas Joyce,20909,District of Columbia,Conglomerates,District of Columbia
dangote-cement,1220,Dangote Cement,Nigeria,934.1,13786,Onne der Weijde,2483,Nigeria,Construction Materials,
danone,283,Danone,France,1421.6,46476,Emmanuel Faber,24853,France,Food Processing,
danske-bank,263,Danske Bank,Denmark,1860.8,27172,Thomas Borgen,11581,Denmark,Regional Banks,
daqin-railway,625,Daqin Railway,China,2283.2,15020,Bo Guan,8610,China,Railroads,
darden-restaurants,1509,Darden Restaurants,United States,340.7,8022,Eugene Lee,7022,Florida,Restaurants,Florida
dassault-aviation,1635,Dassault Aviation,France,156.9,10106,Éric Trappier,4631,France,Aerospace & Defense,
dassault-systemes,1337,Dassault Systemes,France,466,20218,Bernard Charlès,3178,France,Software & Programming,
datang-international-power,811,Datang International Power,China,451.9,7430,Jin Chen,9743,China,Electric Utilities,
delek-group,1892,Delek Group,Israel,1.8,2108,Joseph Bartfeld,2656,Israel,Investment Services,
delhaize-group,827,Delhaize Group,Belgium,405.9,10548,Frans Muller,27052,Belgium,Food Retail,
delphi-automotive,617,Delphi Automotive,United Kingdom,1165,20915,Kevin Clark,15165,United Kingdom,Auto & Truck Parts,
delta-air-lines,170,Delta Air Lines,United States,4726,34428,Edward Bastian,40474,Georgia,Airline,Georgia
delta-electronics,1134,Delta Electronics,Taiwan,589.4,12060,Chung Li,6407,Taiwan,Electronics,
delta-lloyd,1265,Delta Lloyd,Netherlands,142.1,2406,Hans der Noordaa,6639,Netherlands,Diversified Insurance,
denso,219,Denso,Japan,2387.2,36123,Nobuaki Katoh,37330,Japan,Auto & Truck Parts,
dentsply-sirona,1922,Dentsply Sirona,United States,251.2,14289,Jeffrey Slovin,2674,,,
dentsu,651,Dentsu,Japan,767.3,15706,Tadashi Ishii,8574,Japan,Advertising,
derwent-london,1731,Derwent London,United Kingdom,1170.6,5071,Keiji Tokuue,314,United Kingdom,Real Estate,
desarrolladora-homex,1741,Desarrolladora Homex,Mexico,1160.1,177,Gerardo Nicolás Gutiérrez,24,Mexico,Construction Services,
deutsche-annington-immobilien,798,Deutsche Annington Immobilien,Germany,1024.1,15400,Rolf Buch,3183,Germany,,
deutsche-bank,448,Deutsche Bank,Germany,-7532.9,26385,John Cryan,48312,Germany,Major Banks,
deutsche-boerse,699,Deutsche Boerse,Germany,738,16281,Carsten Kengeter,2602,Germany,Investment Services,
deutsche-lufthansa,479,Deutsche Lufthansa,Germany,1882.9,7279,Carsten Spohr,35548,Germany,Airline,
deutsche-pfandbriefbank,1614,Deutsche Pfandbriefbank,Germany,255.1,1357,Andreas Arndt,2273,Germany,Regional Banks,
deutsche-post,228,Deutsche Post,Germany,1707.7,35579,Frank Appe,65681,Germany,Air Courier,
deutsche-telekom,73,Deutsche Telekom,Germany,3608.4,81762,Timotheus Höttges,76768,Germany,Telecommunications services,
deutsche-wohnen,1045,Deutsche Wohnen,Germany,1287.9,9894,Michael Zahn,1526,Germany,,
devon-energy,780,Devon Energy,United States,-14459,18441,David Hager,15058,Oklahoma,Oil & Gas Operations,Oklahoma
dexia,1494,Dexia,Belgium,180.8,44,Karel Boeck,725,Belgium,Regional Banks,
diageo,236,Diageo,United Kingdom,3782.8,68643,Ivan Menezes,16071,United Kingdom,Beverages,
dicks-sporting-goods,1886,Dick's Sporting Goods,United States,330.4,5300,Edward Stack,7271,Pennsylvania,Specialty Stores,Pennsylvania
digital-realty-trust,1619,Digital Realty Trust,United States,296.7,12622,Arthur Stein,1756,California,Real Estate,California
direct-line-insurance,1296,Direct Line Insurance,United Kingdom,631.4,6843,Paul Geddes,4884,United Kingdom,Diversified Insurance,
discover-financial-services,325,Discover Financial Services,United States,2276,23406,David Nelms,10063,Illinois,Consumer Financial Services,Illinois
discovery-communications,831,Discovery Communications,United States,1034,11834,David Zaslav,6378,Maryland,Broadcasting & Cable,Maryland
dixons-carphone,1466,Dixons Carphone,United Kingdom,120.7,6975,Sebastian James,12155,United Kingdom,Specialty Stores,
doha-bank,1720,Doha Bank,Qatar,359.1,2636,Raghavan Seetharaman,1025,Qatar,Regional Banks,
dollar-general,575,Dollar General,United States,1165.1,23346,Todd Vasos,20369,Tennessee,Discount Stores,Tennessee
dollar-tree,855,Dollar Tree,United States,282.4,19038,Robert Sasser,15498,Virginia,Discount Stores,Virginia
dominion-resources,303,Dominion Resources,United States,1899,43169,Thomas Farrell,11581,Virginia,Electric Utilities,Virginia
dongbu-insurance,1039,Dongbu Insurance,South Korea,370,4453,Jeong-Nam Kim,11850,South Korea,Property & Casualty Insurance,
dongfeng-motor-group,509,Dongfeng Motor Group,China,1841.9,9853,Liang Ma,20152,China,Auto & Truck Manufacturers,
dongxing-securities,1721,Dongxing Securities,China,325.2,9537,Qing Wei,1301,China,Investment Services,
doosan,1186,Doosan,South Korea,-345.7,1972,"Jung-Won Park,",16777,South Korea,Construction Services,
dover,1153,Dover,United States,581.5,10447,Robert Livingston,6863,Illinois,Conglomerates,Illinois
dow-chemical,111,Dow Chemical,United States,7634,59019,Andrew Liveris,48770,Michigan,Diversified Chemicals,Michigan
dr-pepper-snapple,1011,Dr Pepper Snapple Group,United States,764,16214,Larry Young,6264,Texas,Beverages,Texas
dr-reddys-laboratories,1920,Dr. Reddy's Laboratories,India,381.1,8041,Gunupati Prasad,2428,India,Pharmaceuticals,
dubai-islamic-bank,1027,Dubai Islamic Bank,United Arab Emirates,866.5,6606,Adnan Chilwan,1992,United Arab Emirates,Regional Banks,
dufry-ag,1803,Dufry AG,Switzerland,-82.4,7071,Julián González,6376,Switzerland,Specialty Stores,
duke-energy,148,Duke Energy,United States,2819,53052,Lynn Good,23441,North Carolina,Electric Utilities,North Carolina
e-l-financial,1963,E-L Financial,Canada,417.9,2226,Duncan N R Jackman,1539,Canada,Diversified Insurance,
e-trade-financial,1193,E-Trade Financial,United States,381,7307,Karl Roessner,1551,New York,Investment Services,New York
e-mart,1320,E-mart,South Korea,401.8,4375,Hae-Sung Kim,12052,South Korea,Discount Stores,
eon,493,E.ON,Germany,-7761.3,20938,Johannes Teyssen,128877,Germany,Electric Utilities,
esun-financial,1374,E.Sun Financial,Taiwan,403.6,4323,Yung Huang,1672,Taiwan,Regional Banks,
eads,102,EADS,France,2989.6,50877,Thomas Enders,71470,France,Aerospace & Defense,
edf,249,EDF,France,660.9,25591,Jean-Bernard Lévy,83176,France,Electric Utilities,
edp-energias-de-portugal,437,EDP-Energias de Portugal,Portugal,1079.2,12567,António Nunes Mexia,17207,Portugal,Electric Utilities,
ei-du-pont-de-nemours,232,EI du Pont de Nemours,United States,1953,57505,Edward Breen,27932,Delaware,Diversified Chemicals,Delaware
emc,231,EMC,United States,2006,51891,Joseph Tucci,24639,Massachusetts,Computer Storage Devices,Massachusetts
ems-chemie-holding,1648,EMS-Chemie Holding,Switzerland,390.8,11440,Magdalena Martullo-Blocher,1979,Switzerland,Specialized Chemicals,
eog-resources,806,EOG Resources,United States,-4524.5,44497,William Thomas,8704,Texas,Oil & Gas Operations,Texas
eqt,1661,EQT,United States,85.2,10933,David Porges,1812,Pennsylvania,Oil & Gas Operations,Pennsylvania
exor,406,EXOR,Italy,580.2,9075,John Elkann,156933,Italy,Investment Services,
east-japan-railway,233,East Japan Railway,Japan,1922.2,36201,Satoshi Seino,23460,Japan,Railroads,
east-money-information,1901,East Money Information,China,294.1,11214,Yiqing Bao,458,China,Computer Services,
east-west-bancorp,1450,East West Bancorp,United States,392.2,5512,Dominic Ng,1249,California,Regional Banks,California
eastman-chemical,769,Eastman Chemical,United States,848,11323,Mark Costa,9581,Tennessee,Specialized Chemicals,Tennessee
easyjet,1107,EasyJet,United Kingdom,846.3,8283,Carolyn Mccall,7237,United Kingdom,Airline,
eaton,315,Eaton,Ireland,1979,28852,Alexander Cutler,20855,Ireland,Other Industrial Equipment,
ecolab,492,Ecolab,United States,1002.1,34132,Douglas Baker,13545,Minnesota,Specialized Chemicals,Minnesota
ecopetrol,698,Ecopetrol,Colombia,-1450.3,19984,"Juan Garzón,",18945,Colombia,Oil & Gas Operations,
edison-international,399,Edison International,United States,1049,22367,Theodore Craver,11524,California,Electric Utilities,California
edwards-lifesciences,1268,Edwards Lifesciences,United States,494.9,22937,Michael Mussallem,2494,California,Medical Equipment & Supplies,California
eiffage,879,Eiffage,France,346,7017,Benoit de Ruffray,15591,France,Construction Services,
eisai,1345,Eisai,Japan,370.8,19404,Haruo Naito,4679,Japan,Pharmaceuticals,
el-puerto-de-liverpool,1103,El Puerto de Liverpool,Mexico,580,15928,Graciano Michel,5748,Mexico,Department Stores,
electric-power-development,1309,Electric Power Development,Japan,361.2,5632,Yasuo Maeda,6489,Japan,Electric Utilities,
electrolux-group,1346,Electrolux Group,Sweden,185.6,8203,Jonas Samuelson,14640,Sweden,Household Appliances,
electronic-arts,1170,Electronic Arts,United States,652,20374,Andrew Wilson,4292,California,Recreational Products,California
eletrobras,1248,Eletrobrás,Brazil,-4323.4,3277,José Carvalho Neto,9756,Brazil,Electric Utilities,
eli-lilly-co,243,Eli Lilly,United States,2408.4,85962,John Lechleiter,19959,Indiana,Pharmaceuticals,Indiana
emaar-properties,893,Emaar Properties,United Arab Emirates,1111.4,13450,Ahmad Al Matrooshi,3927,United Arab Emirates,Real Estate,
emerson-electric,327,Emerson Electric,United States,2534,35674,David Farr,21429,Missouri,Electrical Equipment,Missouri
emirates-integrated-telecom,1666,Emirates Integrated Telecom,United Arab Emirates,528.5,8152,Osman Sultan,3359,United Arab Emirates,Telecommunications services,
emirates-nbd,552,Emirates NBD,United Arab Emirates,1815.9,12710,Shayne Nelson,5287,United Arab Emirates,Regional Banks,
empire,1702,Empire,Canada,-874.1,4513,Marc Poulin,18597,Canada,Food Retail,
empresas-cmpc,1943,Empresas CMPC,Chile,285.3,5383,Hernán Wilson,4836,Chile,Forest Products,
enbw-energie-baden,886,EnBW-Energie Baden,Germany,138.5,7213,Frank Mastiaux,23472,Germany,Electric Utilities,
enagas,1870,Enagas,Spain,457.6,7095,Marcelino Arburúa,1286,Spain,Natural Gas Utilities,
enbridge,542,Enbridge,Canada,196.2,39345,Albert Monaco,27416,Canada,Oil Services & Equipment,
endo,1741,Endo,Ireland,-1508.6,7548,Rajiv Silva,3269,Ireland,Pharmaceuticals,
enel,104,Enel,Italy,2437.6,44569,Francesco Starace,76917,Italy,Electric Utilities,
eni,409,Eni,Italy,-9781.8,57713,Claudio Descalzi,87244,Italy,Oil & Gas Operations,
enka,1630,Enka,Turkey,527.9,7044,Agah Tara,4541,Turkey,Construction Services,
entergy,833,Entergy,United States,-156.7,13335,Leo Denault,11286,Louisiana,Electric Utilities,Louisiana
entermate,1499,Entermate,South Korea,-8348,88,Tae-Hyeon Lee,20272,South Korea,Computer Services,
equifax,1501,Equifax,United States,429.1,13768,Richard Smith,2664,Georgia,Business & Personal Services,Georgia
equinix,1602,Equinix,United States,187.8,22227,Stephen Smith,2726,California,Computer Services,California
equity-residential,917,Equity Residential,United States,532.2,25826,David Neithercut,2727,Illinois,Real Estate,Illinois
ericsson,303,Ericsson,Sweden,1677,27366,Hans Vestberg,29014,Sweden,Communications Equipment,
erste-group-bank,436,Erste Group Bank,Austria,1073.6,12573,Andreas Treichl,9787,Austria,Regional Banks,
essex-property-trust,1662,Essex Property Trust,United States,232.1,14686,Michael Schall,1222,California,Real Estate,California
essilor-international,730,Essilor International,France,839.5,28064,Hubert Sagnières,7448,France,Medical Equipment & Supplies,
estee-lauder,696,Estée Lauder,United States,1180.6,34628,Fabrizio Freda,11064,New York,Household/Personal Care,New York
etisalat,312,Etisalat,United Arab Emirates,2239,45223,Saleh Al-Abdooli,14123,United Arab Emirates,Telecommunications services,
eurazeo,1613,Eurazeo,France,1415,4932,Virginie Morgon,4224,France,Investment Services,
eurobank-ergasias,1617,Eurobank Ergasias,Greece,-1309.6,2152,Fokion Karavias,3400,Greece,Regional Banks,
eutelsat-communications,1955,Eutelsat Communications,France,424.2,7051,Rodolphe Belmer,1694,France,Broadcasting & Cable,
everbright-securities,862,Everbright Securities,China,1216.6,11005,Xin Guo,2609,China,Investment Services,
everest-re-group,890,Everest Re Group,Bermuda,967.7,8196,Dominic Addesso,6022,Bermuda,Diversified Insurance,
evergrande-real-estate,355,Evergrande Real Estate,China,1678.5,10032,Hai Xia,21555,China,Real Estate,
eversource-energy,604,Eversource Energy,United States,878.5,17573,James Judge,7955,Connecticut,Electric Utilities,Connecticut
evonik,561,Evonik,Germany,1108.9,14771,Klaus Engel,14978,Germany,,
exelon,191,Exelon,United States,2269,31421,Christopher Crane,28708,Illinois,Electric Utilities,Illinois
expedia,807,Expedia,United States,764.5,16189,Dara Khosrowshahi,6672,Washington,Business & Personal Services,Washington
expeditors-international,1325,Expeditors International,United States,457.2,8936,Jeffrey Musser,6617,Washington,Air Courier,Washington
experian,1154,Experian,Ireland,674,17374,Brian Cassin,4656,Ireland,Business & Personal Services,
express-scripts,145,Express Scripts,United States,2476.4,46543,Timothy Wentworth,101752,Missouri,Healthcare Services,Missouri
exxon-mobil,9,ExxonMobil,United States,16150,363270,Rex Tillerson,236810,Texas,Oil & Gas Operations,Texas
ezdan-holding-group,1250,Ezdan Holding Group,Qatar,456.4,14372,Ali Suleiman Al-Obaidli,505,Qatar,Real Estate,
fbn-holdings,1683,FBN Holdings,Nigeria,403.9,599,Bello Maccido,2815,Nigeria,Regional Banks,
fcc,1812,FCC,Spain,-51.3,3242,Carlos Jarque Uribe,7181,Spain,Construction Services,
fibi-holdings,1899,FIBI Holdings,Israel,55.3,514,Jacob Sitt,1001,Israel,Regional Banks,
fmc-technologies,1606,FMC Technologies,United States,393.1,6698,John Gremp,6464,Texas,Oil Services & Equipment,Texas
facebook,188,Facebook,United States,3670,314758,Mark Zuckerberg,17927,California,Computer Services,California
fairfax-financial,605,Fairfax Financial,Canada,586.3,13761,Vivian Watsa,11072,Canada,Property & Casualty Insurance,
falabella,614,Falabella,Chile,793.9,18413,Sandro Donaggio,12816,Chile,Department Stores,
fannie-mae,341,Fannie Mae,United States,10954,2003,Tim Mayopoulos,111954,District of Columbia,Investment Services,District of Columbia
fanuc,718,Fanuc,Japan,1531.8,34871,Yoshiharu Inaba,5707,Japan,Other Industrial Equipment,
far-eastern-new-century,1745,Far Eastern New Century,Taiwan,253,4117,Hsu Hsu,6864,Taiwan,Diversified Chemicals,
fast-retailing,766,Fast Retailing,Japan,433.4,30354,Tadashi Yanai,14444,Japan,Apparel/Footwear Retail,
fastenal,1418,Fastenal,United States,515,13182,Daniel Florness,3903,Minnesota,Home Improvement Retail,Minnesota
fedex,260,FedEx,United States,1136,44644,Frederick Smith,49500,Tennessee,Air Courier,Tennessee
femsa,390,Femsa,Mexico,1096.8,33621,Carlos Lomelín,19430,Mexico,Beverages,
ferrovial,586,Ferrovial,Spain,798.4,15613,Íñigo Amusco,10758,Spain,Other Transportation,
fiat-chrysler-automobiles,503,Fiat Chrysler Automobiles,United Kingdom,370.4,10403,Sergio Marchionne,122740,United Kingdom,Auto & Truck Manufacturers,
fibra-uno,1933,Fibra Uno,Mexico,361.1,7418,André Arazi,701,Mexico,,
fidelity-national-financial,968,Fidelity National Financial,United States,527,9066,Raymond Quirk,9151,Florida,Property & Casualty Insurance,Florida
fidelity-national-information,699,Fidelity National Information,United States,631.5,21252,Gary Norcross,6641,Florida,Business & Personal Services,Florida
fifth-third-bancorp,456,Fifth Third Bancorp,United States,1667,14594,Gregory Carmichael,6815,Ohio,Regional Banks,Ohio
financial-street-holdings,1629,Financial Street Holdings,China,540,4184,Jing Gao,3088,China,Real Estate,
financiere-de-lodet,1057,Financiere de l'Odet,France,329.4,6283,Cédric De Bailliencourt,12003,France,Conglomerates,
finatis,952,Finatis,France,-78.7,305,Didier Lévêque,51943,France,Food Retail,
finmeccanica,1006,Finmeccanica,Italy,265,7116,Mauro Moretti,14410,Italy,Aerospace & Defense,
first-citizens-bancshares,1913,First Citizens BancShares,United States,207,3101,Frank Holding,1379,North Carolina,Regional Banks,North Carolina
first-data,902,First Data,United States,-1481,11690,Frank Bisignano,11451,Georgia,,Georgia
first-financial-holding,1161,First Financial Holding,Taiwan,504.1,5569,M Jeng,1821,Taiwan,Regional Banks,
first-gulf-bank,657,First Gulf Bank,United Arab Emirates,1624.3,16049,André Sayegh,2975,United Arab Emirates,Regional Banks,
first-niagara-financial,1792,First Niagara Financial,United States,220.8,3796,Gary Crosby,1538,New York,Thrifts & Mortgage Finance,New York
first-pacific,1750,First Pacific,Hong Kong,85.1,2661,Victorico Vargas,6437,Hong Kong,Investment Services,
first-republic-bank,923,First Republic Bank,United States,555.1,10328,James Herbert,2094,California,Regional Banks,California
first-solar,1882,"First Solar,",United States,545.7,6290,James Hughes,3577,Arizona,Electronics,Arizona
firstenergy,513,FirstEnergy,United States,578,14638,Charles Jones,14931,Ohio,Electric Utilities,Ohio
firstrand,502,FirstRand,South Africa,1730.8,18457,Johannes Burger,5763,South Africa,Major Banks,
fiserv,1017,Fiserv,United States,712,21862,Jeffery Yabuki,5254,Wisconsin,Software & Programming,Wisconsin
fleetcor-technologies,1587,FleetCor Technologies,United States,362.4,14288,Ronald Clarke,1703,Georgia,Business & Personal Services,Georgia
flextronics-international,931,Flextronics International,Singapore,517.8,6704,Michael Mcnamara,24598,Singapore,Electronics,
fluor,1126,Fluor,United States,412.5,7556,David Seaton,18114,Texas,Construction Services,Texas
focus-media-information-technology,1738,Focus Media Information Technology,China,0.5,20856,Xian Yi,1324,China,Computer Hardware,
fonciere-des-regions,1394,Foncière des Régions,France,534,6173,Christophe Kullmann,1002,France,Real Estate,
foot-locker,1239,Foot Locker,United States,541,8221,Richard Johnson,7412,New York,Apparel/Footwear Retail,New York
ford-motor,40,Ford Motor,United States,7373,54196,Mark Fields,149558,Michigan,Auto & Truck Manufacturers,Michigan
formosa-chemicals,695,Formosa Chemicals,Taiwan,868.5,15213,Fu Hong,10372,Taiwan,Specialized Chemicals,
formosa-petrochemical,507,Formosa Petrochemical,Taiwan,1489.6,26713,Ming Tsao,19825,Taiwan,Oil & Gas Operations,
formosa-plastics,861,Formosa Plastics,Taiwan,972.4,15959,Chih Li,6032,Taiwan,Specialized Chemicals,
fortescue-metals-group,1161,Fortescue Metals Group,Australia,317.9,8083,Neville Power,7040,Australia,Iron & Steel,
fortis-canada,1000,Fortis (Canada),Canada,629.2,8700,Barry Perry,5258,Canada,Electric Utilities,
fortum,1353,Fortum,Finland,-159.7,12882,Pekka Lundmark,3836,Finland,Electric Utilities,
fortune-brands-home-security,1770,Fortune Brands Home & Security,United States,330.7,8714,Christopher Klein,4735,Illinois,,Illinois
foshan-haitian-flavouring-and-food-company,1605,Foshan Haitian Flavouring and Food Company,China,398.5,12142,Pang Kang,1780,China,,
fosun-international,434,Fosun International,China,1278,12561,Xin Liang,12509,China,Iron & Steel,
founder-securities,1016,Founder Securities,China,681.5,9636,Jie Lei,927,China,Investment Services,
franklin-resources,601,Franklin Resources,United States,1905.1,24103,Gregory Johnson,7683,California,Investment Services,California
franshion-properties-china,1577,Franshion Properties (China),Hong Kong,488.8,3096,Cong Li,2970,Hong Kong,Consumer Financial Services,
frasers-centrepoint,1675,Frasers Centrepoint,Singapore,501.4,3549,Ee Lim,2329,Singapore,,
freddie-mac,367,Freddie Mac,United States,6376,1047,Donald Layton,66484,Virginia,Investment Services,Virginia
freeport,740,Freeport,United States,-12204,14611,Richard Adkerson,16235,Arizona,Diversified Metals & Mining,Arizona
fresenius,244,Fresenius,Germany,1505.9,40038,Ulf Schneider,30635,Germany,Medical Equipment & Supplies,
frontier-communications,1417,Frontier Communications,United States,-199,6599,Daniel Mccarthy,5576,Connecticut,Telecommunications services,Connecticut
fubon-financial,291,Fubon Financial,Taiwan,2002.7,12623,Wan Hsu,21578,Taiwan,Investment Services,
fuji-heavy-industries,330,Fuji Heavy Industries,Japan,3380.9,27645,Yasuyuki Yoshinaga,26728,Japan,Auto & Truck Manufacturers,
fujifilm-holdings,417,Fujifilm Holdings,Japan,901,21184,Shigetaka Komori,20806,Japan,Consumer Electronics,
fujitsu,636,Fujitsu,Japan,641.3,7795,Masami Yamamoto,39624,Japan,Computer Hardware,
fukuoka-financial-group,1328,Fukuoka Financial Group,Japan,348.5,3221,Masaaki Tani,1901,Japan,Regional Banks,
gail-india,1087,GAIL India,India,516.8,6982,Bhuwan Tripathi,9873,India,Natural Gas Utilities,
gcl-system-integration-technology,1700,GCL System Integration Technology,China,940.3,5697,Hua Shu,1225,China,Electrical Equipment,
gd-power-development,720,GD Power Development,China,694.3,9019,Shu Feng,8606,China,Electric Utilities,
gdf-suez,428,GDF SUEZ,France,-5119.9,38961,Isabelle Kocher,77495,France,Electric Utilities,
gea-group,1540,GEA Group,Germany,401.3,9174,Jürg Oleas,5100,Germany,Conglomerates,
gf-securities,446,GF Securities,China,2107.3,18832,Zhi Lin,6726,China,Investment Services,
gfnorte,531,GFNorte,Mexico,1077.4,15182,Jose Miguel,6928,Mexico,Regional Banks,
gkn,1339,GKN,United Kingdom,301,7223,Nigel Stein,11048,United Kingdom,Auto & Truck Parts,
gpt-group,1723,GPT Group,Australia,650.1,6681,Bob Johnston,518,Australia,Real Estate,
gs-engineering,1859,GS Engineering,South Korea,23,1734,"Chang-Soo Huh,",9341,South Korea,Construction Services,
gs-holdings,1200,GS Holdings,South Korea,434.9,4679,"Chang-Soo Huh,",10869,South Korea,Oil & Gas Operations,
galaxy-entertainment,1090,Galaxy Entertainment,Hong Kong,536.7,15118,Che-woo Lui,6577,Hong Kong,Casinos & Gaming,
galenica,1945,Galenica,Switzerland,312.7,9784,Etienne Jornod,3938,Switzerland,,
galp-energia,1033,Galp Energia,Portugal,144.2,11260,Carlos Gomes da Silva,17216,Portugal,Oil & Gas Operations,
gamestop,1630,GameStop,United States,402.8,3407,Julian Raines,9364,Texas,Specialty Stores,Texas
gap,876,Gap,United States,920,9533,Arthur Peck,15797,California,Apparel/Footwear Retail,California
garanti-bank,482,Garanti Bank,Turkey,1383.4,12499,Ali Erbil,8269,Turkey,Regional Banks,
garmin,1759,Garmin,United States,456.2,8103,Clifton Pemble,2820,Kansas,Consumer Electronics,Kansas
gas-natural-fenosa,287,Gas Natural Fenosa,Spain,1665.6,20590,Rafael Marco,28849,Spain,Natural Gas Utilities,
gazprom,53,Gazprom,Russia,4877.4,57146,Alexei Miller,102051,Russia,Oil & Gas Operations,
geberit,1497,Geberit,Switzerland,438.7,13541,Christian Buhl,2694,Switzerland,Construction Materials,
gecina,1055,Gecina,France,1784.5,8725,Philippe Depoux,658,France,Real Estate,
