_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
isbank,447,Isbank,Turkey,1808.4,7829,Adnan Bali,14572,Turkey,Regional Banks,
isetan-mitsukoshi-holdings,1640,Isetan Mitsukoshi Holdings,Japan,296.3,4501,Kunio Ishizuka,10734,Japan,Department Stores,
israel-corp,1767,Israel Corp,Israel,443.3,1567,Avisar Paz,5407,Israel,Investment Services,
israel-discount-bank,1698,Israel Discount Bank,Israel,190.5,1807,Lilach Asher-Topilsky,2270,Israel,Regional Banks,
isuzu-motors,716,Isuzu Motors,Japan,943.7,9822,Jin Li,16079,Japan,Auto & Truck Manufacturers,
itau-unibanco-holding,63,Itaú Unibanco Holding,Brazil,7705.9,50476,Roberto Setúbal,50919,Brazil,Regional Banks,
itausa,882,Itaúsa,Brazil,2654.8,15579,Alfredo Setubal,1462,Brazil,Conglomerates,
itochu,203,Itochu,Japan,2892.3,21968,Masahiro Okafuji,43249,Japan,Trading Companies,
ivanhoe-mines,1988,Ivanhoe Mines,Canada,727.8,634,Lars-Eric Johansson,,Canada,Diversified Metals & Mining,
iyo-bank,1692,Iyo Bank,Japan,192.6,2209,Iwao Ohtsuka,922,Japan,Regional Banks,
j-sainsbury,630,J Sainsbury,United Kingdom,679.5,8112,Michael Coupe,36333,United Kingdom,Food Retail,
jb-financial-group,1872,JB Financial Group,South Korea,101.3,804,Han Kim,1726,South Korea,Regional Banks,
jb-hunt-transport,1343,JB Hunt Transport,United States,435.4,9689,John Roberts,6276,Arkansas,Trucking,Arkansas
jbs,519,JBS,Brazil,1389.1,6952,Wesley Batista,48772,Brazil,Food Processing,
jc-penney,1803,JC Penney,United States,-573,2925,Marvin Ellison,12625,Texas,Department Stores,Texas
jd,800,JD.com,China,-1491.4,38829,Qiang Liu,28830,China,Internet & Catalog Retail,
jfe-holdings,558,JFE Holdings,Japan,580.6,10291,Eiji Hayashida,29564,Japan,Iron & Steel,
jg-summit-holdings,1129,JG Summit Holdings,Philippines,496.6,12805,James Go,4875,Philippines,Conglomerates,
jm-smucker,941,JM Smucker,United States,405.9,15098,Richard Smucker,7436,Ohio,Food Processing,Ohio
jpmorgan-chase,5,JPMorgan Chase,United States,23548,234247,Jamie Dimon,99881,New York,Major Banks,New York
jsw-steel,1773,JSW Steel,India,-132.6,4879,Sajjan Jindal,8666,India,Iron & Steel,
jtekt,1506,JTEKT,Japan,401.6,4898,Atsushi Niimi,11661,Japan,Auto & Truck Parts,
jx-holdings,668,JX Holdings,Japan,-2119.5,10737,Yasushi Kimura,76222,Japan,Oil & Gas Operations,
jabal-omar-development,1891,Jabal Omar Development,Saudi Arabia,-26.9,15184,Yasser Al-Sherif,172,Saudi Arabia,Consumer Financial Services,
jabil-circuit,1359,Jabil Circuit,United States,369,3434,Mark Mondello,18651,Florida,Electronics,Florida
jaccs,1983,Jaccs,Japan,55.8,678,Yasuyoshi Itagaki,927,Japan,Consumer Financial Services,
jacobs-engineering,1837,Jacobs Engineering,United States,249.4,5363,Steven Demetriou,11776,California,Construction Services,California
japan-airlines,697,Japan Airlines,Japan,1429.4,13326,Masaru Onishi,11116,Japan,Airline,
japan-exchange-group,1056,Japan Exchange Group,Japan,313.4,8969,Akira Kiyota,982,Japan,Investment Services,
japan-post-holdings,29,Japan Post Holdings,Japan,4393.8,62570,Masatsugu Nagato,129795,Japan,Life & Health Insurance,
japan-securities,1925,Japan Securities,Japan,23.7,411,Minoru Masubuchi,184,Japan,Investment Services,
japan-tobacco,222,Japan Tobacco,Japan,4011.8,84335,Mitsuomi Koizumi,19241,Japan,Tobacco,
jardine-matheson,199,Jardine Matheson,Hong Kong,1797,42142,Benjamin Keswick,37007,Hong Kong,Conglomerates,
jazz-pharmaceuticals,1911,Jazz Pharmaceuticals,Ireland,329.5,9616,Bruce Cozadd,1325,Ireland,Pharmaceuticals,
jeronimo-martins,1089,Jeronimo Martins,Portugal,369.6,10158,Pedro Soares dos Santos,15223,Portugal,Food Retail,
jetblue-airways,1371,JetBlue Airways,United States,677,6583,Robin Hayes,6416,New York,Airline,New York
jiangsu-hengrui-medicine-co-ltd,1636,Jiangsu Hengrui Medicine,China,345.5,14120,Yun Zhou,1457,China,Pharmaceuticals,
jiangsu-yanghe-brewery,1220,Jiangsu Yanghe Brewery,China,801.2,15513,Shoubing Wang,2539,China,Beverages,
jiangxi-copper,1201,Jiangxi Copper,China,104.6,6259,Yi Li,29392,China,Diversified Metals & Mining,
john-deere,250,John Deere,United States,1807.1,26109,Samuel Allen,27956,Illinois,Heavy Equipment,Illinois
johnson-johnson,32,Johnson & Johnson,United States,15381,312575,Alex Gorsky,70236,New Jersey,Medical Equipment & Supplies,New Jersey
johnson-controls,468,Johnson Controls,United States,447,27180,Alex Molinaroli,36317,Wisconsin,Auto & Truck Parts,Wisconsin
johnson-matthey,936,Johnson Matthey,United Kingdom,826.2,8075,Robert Macleod,17011,United Kingdom,Diversified Chemicals,
joint-stock-commercial-bank-for-foreign-trade-of-vietnam,1843,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietnam,242.4,5464,Dung Pham,1782,Vietnam,Regional Banks,
jones-lang-lasalle,1780,Jones Lang LaSalle,United States,438.4,5449,Colin Dyer,5966,Illinois,Real Estate,Illinois
joyo-bank,1623,Joyo Bank,Japan,239.3,2834,Kunio Onizawa,1116,Japan,Regional Banks,
julius-baer-group,1223,Julius Baer Group,Switzerland,125.9,9371,Boris Collardi,3157,Switzerland,Regional Banks,
juniper-networks,1354,Juniper Networks,United States,633.7,9130,Rami Rahim,4859,California,Communications Equipment,California
juroku-bank,1702,Juroku Bank,Japan,183,1187,Yukio Murase,1017,Japan,Regional Banks,
jyske-bank,1358,Jyske Bank,Denmark,368.1,4041,Anders Dam,2453,Denmark,Regional Banks,
k-plus-s,1902,K+S,Germany,549.1,4780,Norbert Steiner,4630,Germany,Diversified Chemicals,
kb-financial-group,351,KB Financial Group,South Korea,1416.4,12133,Jong-Kyoo Yoon,13846,South Korea,Regional Banks,
kbc-group,229,KBC Group,Belgium,2926.4,23418,Johan Thijs,14882,Belgium,Regional Banks,
kddi,157,KDDI,Japan,4009.8,81631,Tadashi Onodera,37337,Japan,Telecommunications services,
kia-motors,290,KIA Motors,South Korea,2324.3,17203,Hyoung-Keun Lee,43754,South Korea,Auto & Truck Manufacturers,
kla-tencor,1477,KLA-Tencor,United States,530.8,11192,Richard Wallace,2842,California,Semiconductors,California
kpn,772,KPN,Netherlands,574.4,16478,Eelco Blok,7949,Netherlands,Telecommunications services,
kt-corp,822,KT Corp,South Korea,488.6,6490,Chang-Gyu Hwang,19720,South Korea,Telecommunications services,
ktg,1216,KT&G,South Korea,874.2,14811,Bok-In Baek,3566,South Korea,Tobacco,
kwg-property-holding,1824,KWG Property Holding,Hong Kong,542.6,1974,Jian Kong,1326,Hong Kong,Consumer Financial Services,
kaisa-group-holdings,1638,Kaisa Group Holdings,China,515.5,1033,Yi Zheng,3175,China,Consumer Financial Services,
kajima,1087,Kajima,Japan,333.5,6781,Mitsuyoshi Nakamura,14412,Japan,Construction Services,
kangmei-pharmaceutical,1608,Kangmei Pharmaceutical,China,465.2,10017,"Xing Ma,",2834,China,Pharmaceuticals,
kangwon-land,1928,Kangwon Land,South Korea,390.2,7845,Seung-Hee Ham,1443,South Korea,Casinos & Gaming,
kansai-electric-power,771,Kansai Electric Power,Japan,252.5,8471,Shosuke Mori,27386,Japan,Electric Utilities,
kansas-city-southern,1547,Kansas City Southern,United States,490.5,10607,David Starling,2378,Missouri,Railroads,Missouri
kao-corp,694,Kao Corp,Japan,816.6,26667,Michitaka Sawada,12157,Japan,Household/Personal Care,
kasikornbank,566,Kasikornbank,Thailand,1048.9,11065,Banthoon Lamsam,7550,Thailand,Regional Banks,
kawasaki-heavy-industries,1364,Kawasaki Heavy Industries,Japan,299.7,5125,Shigeru Murayama,12681,Japan,Heavy Equipment,
kawasaki-kisen-kaisha,1867,Kawasaki Kisen Kaisha,Japan,25.5,2136,Eizo Murakami,10863,Japan,Other Transportation,
keiyo-bank,1813,Keiyo Bank,Japan,111,1073,Nobuo Kojima,560,Japan,Regional Banks,
kellogg,633,Kellogg,United States,614,26516,John Bryant,13529,Michigan,Food Processing,Michigan
keppel-corp,877,Keppel Corp,Singapore,991.7,7660,Chin Loh,6654,Singapore,Conglomerates,
kering,543,Kering,France,707.9,21500,François-Henri Pinault,12846,France,Apparel/Accessories,
kerry-group,1042,Kerry Group,Ireland,582.6,16052,Stan Mccarthy,6770,Ireland,Food Processing,
kerry-properties,1438,Kerry Properties,Hong Kong,713.3,4019,Siu Wong,1407,Hong Kong,,
keycorp,736,KeyCorp,United States,871,10418,Beth Mooney,4511,Ohio,Major Banks,Ohio
keyence,998,Keyence,Japan,1108.8,36511,Akinori Yamamoto,3082,Japan,Electronics,
kimberly-clark,477,Kimberly-Clark,United States,1013,45693,Thomas Falk,18591,Texas,Household/Personal Care,Texas
kimco-realty,1263,Kimco Realty,United States,614.9,11693,Conor Flynn,1173,New York,Real Estate,New York
kinder-morgan,594,Kinder Morgan,United States,213,40436,Steven Kean,13769,Texas,Oil Services & Equipment,Texas
kingdom-holding,1779,Kingdom Holding,Saudi Arabia,188.5,12234,"Alwaleed Al-Saud,",537,Saudi Arabia,Investment Services,
kingfisher,758,Kingfisher,United Kingdom,626.8,11964,Véronique Laury-Deroubaix,15886,United Kingdom,Home Improvement Retail,
kintetsu,1158,Kintetsu,Japan,297.6,8016,Tetsuya Kobayashi,10037,Japan,Railroads,
kirin-holdings,887,Kirin Holdings,Japan,-390.9,13503,Senji Miyake,18147,Japan,Beverages,
kiyo-bank,1822,Kiyo Bank,Japan,136.8,873,Hiroomi Katayama,657,Japan,Regional Banks,
klepierre,1406,Klepierre,France,-554.2,14018,Laurent Morel,1586,France,,
kobe-steel,1325,Kobe Steel,Japan,70.9,4009,Hiroshi Sato,15419,Japan,Iron & Steel,
kohls,808,Kohl's,United States,673,8418,Kevin Mansell,19204,Wisconsin,Department Stores,Wisconsin
koito-manufacturing-co,1677,Koito Manufacturing,Japan,326.8,6991,Takashi Ohtake,6611,Japan,Auto & Truck Parts,
komatsu,493,Komatsu,Japan,1166.6,17755,Tetsuji Ohashi,15798,Japan,Heavy Equipment,
kone,768,Kone,Finland,1144.7,23718,Henrik Ehrnrooth,9589,Finland,Construction Services,
konica-minolta,1906,Konica Minolta,Japan,307.4,4561,Richard K. Taylor,8592,Japan,Consumer Electronics,
korea-electric-power,97,Korea Electric Power,South Korea,11741.5,33064,Hwan-Eik Cho,52092,South Korea,Electric Utilities,
korea-gas,1019,Korea Gas,South Korea,282,3147,Seung-Hun Lee,23019,South Korea,Natural Gas Utilities,
korea-investment-holdings-co,1834,Korea Investment Holdings,South Korea,286.5,2421,Nam-goo Kim,1242,South Korea,Investment Services,
korea-zinc,1686,Korea Zinc,South Korea,450.1,8225,Chang-Geun Choi,4216,South Korea,Diversified Metals & Mining,
korean-air,1433,Korean Air,South Korea,-499.2,1970,Chang-Hoon Chi,10200,South Korea,Airline,
kotak-mahindra-bank,899,Kotak Mahindra Bank,India,516.7,18639,Dipak Gupta,3529,India,Regional Banks,
koc-holding,451,Koç Holding,Turkey,1308.1,13522,Levent Çakiroglu,25479,Turkey,Conglomerates,
kraft-heinz-company,281,Kraft Heinz Company,Canada,634,94906,Bernardo Hees,20213,Canada,Food Processing,
kroger,223,Kroger,United States,2027,34245,W Mcmullen,109830,Ohio,Food Retail,Ohio
